日期,行业名称,电量_万千瓦时
2024-01-03,6.其他采矿业  ,153.0826
2024-01-03,6.多式联运和运输代理业,34.0922
2024-01-03,6.纺织服装、服饰业,302.2855
2024-01-03,7.皮革、毛皮、羽毛及其制品和制鞋业,69.1925
2024-01-03,7.装卸搬运和仓储业,271.5855
2024-01-03,8.木材加工和木、竹、藤、棕、草制品业,444.8765
2024-01-03,8.邮政业,38.7334
2024-01-03,9.家具制造业,185.2245
2024-01-03,A、全行业用电合计,52548.1962
2024-01-03,B、城乡居民生活用电合计,15411.7946
2024-01-03,一、农、林、牧、渔业,1149.666
2024-01-03,七、住宿和餐饮业,1048.194
2024-01-03,三、建筑业,1226.9169
2024-01-03,九、房地产业,2651.5703
2024-01-03,二、工业,33117.3654
2024-01-03,五、信息传输、软件和信息技术服务业,1068.6079
2024-01-03,全行业用电分类,52548.1962
2024-01-03,八、金融业,292.1968
2024-01-03,六、批发和零售业,3592.9932
2024-01-03,其他开采专业及辅助性活动,21.1193
2024-01-03,十、租赁和商务服务业,332.0995
2024-01-03,十一、公共服务及管理组织,5754.2479
2024-01-03,四、交通运输、仓储和邮政业,2314.3382
2024-01-03,客户用电量,67959.9907
2024-01-03,（一）采矿业,928.547
2024-01-03,（三）电力、热力、燃气及水的生产和供应业,2216.837
2024-01-03,（二） 制造业,29971.9814
2024-01-04,      其中：排灌,132.1085
2024-01-04,    1.农业,380.0767
2024-01-04,    2.林业,7.7811
2024-01-04,    3.畜牧业,342.418
2024-01-04,    4.渔业,83.0456
2024-01-04,    5.农、林、牧、渔专业及辅助性活动,365.3312
2024-01-04,    乡村居民,5909.4433
2024-01-04,    城镇居民,8892.4992
2024-01-04,    第一产业,813.3214
2024-01-04,    第三产业,17055.3502
2024-01-04,    第二产业,34861.3787
2024-01-04,  其中：中成药生产,50.7938
2024-01-04,  其中：互联网数据服务,105.3392
2024-01-04,  其中：体育用品制造,8.0632
2024-01-04,  其中：充换电服务业,686.2596
2024-01-04,  其中：光伏设备及元器件制造,19.237
2024-01-04,  其中：公共照明,668.5354
2024-01-04,  其中：医疗仪器设备及器械制造,31.1916
2024-01-04,  其中：地质勘查,5.0305
2024-01-04,  其中：城市公共交通运输,358.9724
2024-01-04,  其中：教育,1870.7275
2024-01-04,  其中：新能源车整车制造,50.1837
2024-01-04,  其中：橡胶制品业,239.5254
2024-01-04,  其中：氯碱,163.768
2024-01-04,  其中：水利管理业,98.2609
2024-01-04,  其中：水泥制造,1121.4423
2024-01-04,  其中：港口岸电,4.6583
2024-01-04,  其中：煤化工,227.9651
2024-01-04,  其中：电厂生产全部耗用电量,148.5691
2024-01-04,  其中：电气化铁路,1143.5062
2024-01-04,  其中：碳化硅,5.295
2024-01-04,  其中：科技推广和应用服务业,60.3561
2024-01-04,  其中：租赁业,9.9181
2024-01-04,  其中：结构性金属制品制造,631.535
2024-01-04,  其中：肥料制造,2346.1031
2024-01-04,  其中：计算机制造,19.1431
2024-01-04,  其中：钢铁,3208.8308
2024-01-04,  其中：铁路运输设备制造,21.6722
2024-01-04,  其中：铝冶炼,2.9028
2024-01-04,  其中：风能原动设备制造,0.0393
2024-01-04,  城市轨道交通设备制造,10.2177
